Codigo;Denominacion;Tarifa;Familia;Acabado;Color;TipoMontaje;TipoBisagra;Costado;Dto
7997.A.P.150;TIRADOR L 37x16x150mm PLATA BRILLO;4,844;Tirador;A.P;;;;;
7997.A.PM.150;TIRADOR L 37x16x150mm PLATA MATE;4,536;Tirador;A.PM;;;;;
7997.L.B.150;TIRADOR L 37x16x150mm LACADO BLANCO;4,634;Tirador;L.B;;;;;
7997.L.BM03.150;TIRADOR L 37X16X150mm LAC.BLANCOMAT 9003;4,683;Tirador;L.BM03;;;;;
7997.L.NM.150;TIRADOR L 37X16X150mm LACADO NEGRO MATE;4,683;Tirador;L.NM;;;;;
7997.L.T.150;TIRADOR L 37X16X150mm REPINTABLE;Consultar;Tirador;ESP;;;;;
7997.C.RB.150;TIRADOR L 37x16x150mm CHAPA ROBLE;10;Tirador;C.RB;;;;;
7997.C.NG.150;TIRADOR L 37x16x150mm CHAPA NOGAL;10;Tirador;C.NG;;;;;
79971.A.P;TIRADOR EMBUTIR 35x126 PLATA BRILLO;6,326;Tirador;A.P;;;;;
79971.A.PM;TIRADOR EMBUTIR 35x126 PLATA MATE;5,8;Tirador;A.PM;;;;;
79971.L.B;TIRADOR EMBUTIR 35x126 LACADO BLANCO;5,966;Tirador;L.B;;;;;
79971.L.BM03;TIRADOR EMBUTIR 35x126 LACADO BLANCO MATE 9003;5,966;Tirador;L.BM03;;;;;
79971.L.NM;TIRADOR EMBUTIR 35X126 LACADO NEGRO MATE;5,967;Tirador;L.NM;;;;;
79971.L.T;TIRADOR EMBUTIR 35X126 REPINTABLE;Consultar;Tirador;ESP;;;;;
7794.A.P.150;TIRADOR 48x14x150mm PLATA BRILLO;4,844;Tirador;A.P;;;;;
7794.A.PM.150;TIRADOR 48x14x150mm PLATA MATE;4,536;Tirador;A.PM;;;;;
7794.L.B.150;TIRADOR 48x14x150mm LACADO BLANCO;4,634;Tirador;L.B;;;;;
7794.L.BM03.150;TIRADOR 48x14X150mm LAC.BLANCOMAT 9003;4,683;Tirador;L.BM03;;;;;
7794.L.NM.150;TIRADOR 48x14X150mm LACADO NEGRO MATE;4,683;Tirador;L.NM;;;;;
7794.L.T.150;TIRADOR 48x14X150mm REPINTABLE;Consultar;Tirador;ESP;;;;;
VV.MEC.B;MECANIZADO BISAGRA EN VITRINA;2,25;Mecanizado;;;;;;
VV.MEC.T;MECANIZADO TIRADOR EN VITRINA;2,75;Mecanizado;;;;;;
HBI11.K;BISAGRA PERFIL ALU 20 RECTA 105º AMORT NIQUEL;2,689;Bisagra;;niquelado;recta;ALU20;;
HBI21.K;BISAGRA PERFIL ALU 20 ACODADA 105º AMORT NIQUEL;2,845;Bisagra;;niquelado;acodada;ALU20;;
HBI31.K;BISAGRA PERFIL ALU 20 SUPERACOD 105º AMORT NIQUEL;2,845;Bisagra;;niquelado;superacodada;ALU20;;
