Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7990;400;500;SINVIDRIO;LACADO;44,96
7990;400;1000;SINVIDRIO;LACADO;56,70
7990;400;2000;SINVIDRIO;LACADO;77,35
7990;400;2500;SINVIDRIO;LACADO;89,09
7990;500;500;SINVIDRIO;LACADO;46,74
7990;500;1000;SINVIDRIO;LACADO;58,48
7990;500;2000;SINVIDRIO;LACADO;79,13
7990;500;2500;SINVIDRIO;LACADO;90,87
7990;600;500;SINVIDRIO;LACADO;48,52
7990;600;1000;SINVIDRIO;LACADO;60,27
7990;600;2000;SINVIDRIO;LACADO;80,91
7990;600;2500;SINVIDRIO;LACADO;92,65
7990;400;500;SINVIDRIO;ANODIZADO;47,66
7990;400;1000;SINVIDRIO;ANODIZADO;60,90
7990;400;2000;SINVIDRIO;ANODIZADO;84,54
7990;400;2500;SINVIDRIO;ANODIZADO;97,78
7990;500;500;SINVIDRIO;ANODIZADO;49,74
7990;500;1000;SINVIDRIO;ANODIZADO;62,98
7990;500;2000;SINVIDRIO;ANODIZADO;86,63
7990;500;2500;SINVIDRIO;ANODIZADO;99,87
7990;600;500;SINVIDRIO;ANODIZADO;51,82
7990;600;1000;SINVIDRIO;ANODIZADO;65,06
7990;600;2000;SINVIDRIO;ANODIZADO;88,71
7990;600;2500;SINVIDRIO;ANODIZADO;101,95
7990;400;500;TRANSPARENTE;LACADO;131,29
7990;400;1000;TRANSPARENTE;LACADO;157,66
7990;400;2000;TRANSPARENTE;LACADO;192,44
7990;400;2500;TRANSPARENTE;LACADO;217,01
7990;500;500;TRANSPARENTE;LACADO;136,56
7990;500;1000;TRANSPARENTE;LACADO;165,74
7990;500;2000;TRANSPARENTE;LACADO;205,06
7990;500;2500;TRANSPARENTE;LACADO;232,21
7990;600;500;TRANSPARENTE;LACADO;141,83
7990;600;1000;TRANSPARENTE;LACADO;173,83
7990;600;2000;TRANSPARENTE;LACADO;217,68
7990;600;2500;TRANSPARENTE;LACADO;247,41
7990;400;500;TRANSPARENTE;ANODIZADO;133,98
7990;400;1000;TRANSPARENTE;ANODIZADO;161,86
7990;400;2000;TRANSPARENTE;ANODIZADO;199,64
7990;400;2500;TRANSPARENTE;ANODIZADO;225,71
7990;500;500;TRANSPARENTE;ANODIZADO;139,55
7990;500;1000;TRANSPARENTE;ANODIZADO;170,24
7990;500;2000;TRANSPARENTE;ANODIZADO;212,55
7990;500;2500;TRANSPARENTE;ANODIZADO;241,21
7990;600;500;TRANSPARENTE;ANODIZADO;145,12
7990;600;1000;TRANSPARENTE;ANODIZADO;178,62
7990;600;2000;TRANSPARENTE;ANODIZADO;225,47
7990;600;2500;TRANSPARENTE;ANODIZADO;256,71
7990;400;500;COLORMIX01;LACADO;137,28
7990;400;1000;COLORMIX01;LACADO;169,65
7990;400;2000;COLORMIX01;LACADO;213,84
7990;400;2500;COLORMIX01;LACADO;243,76
7990;500;500;COLORMIX01;LACADO;144,05
7990;500;1000;COLORMIX01;LACADO;180,73
7990;500;2000;COLORMIX01;LACADO;231,81
7990;500;2500;COLORMIX01;LACADO;265,65
7990;600;500;COLORMIX01;LACADO;150,82
7990;600;1000;COLORMIX01;LACADO;191,81
7990;600;2000;COLORMIX01;LACADO;249,77
7990;600;2500;COLORMIX01;LACADO;287,53
7990;400;500;COLORMIX01;ANODIZADO;139,98
7990;400;1000;COLORMIX01;ANODIZADO;173,85
7990;400;2000;COLORMIX01;ANODIZADO;221,04
7990;400;2500;COLORMIX01;ANODIZADO;252,45
7990;500;500;COLORMIX01;ANODIZADO;147,05
7990;500;1000;COLORMIX01;ANODIZADO;185,23
7990;500;2000;COLORMIX01;ANODIZADO;239,30
7990;500;2500;COLORMIX01;ANODIZADO;274,64
7990;600;500;COLORMIX01;ANODIZADO;154,12
7990;600;1000;COLORMIX01;ANODIZADO;196,61
7990;600;2000;COLORMIX01;ANODIZADO;257,57
7990;600;2500;COLORMIX01;ANODIZADO;296,83
7990;400;500;GRISOSCURO;LACADO;152,63
7990;400;1000;GRISOSCURO;LACADO;200,34
7990;400;2000;GRISOSCURO;LACADO;269,96
7990;400;2500;GRISOSCURO;LACADO;313,91
7990;500;500;GRISOSCURO;LACADO;163,23
7990;500;1000;GRISOSCURO;LACADO;219,09
7990;500;2000;GRISOSCURO;LACADO;301,96
7990;500;2500;GRISOSCURO;LACADO;353,34
7990;600;500;GRISOSCURO;LACADO;173,84
7990;600;1000;GRISOSCURO;LACADO;237,85
7990;600;2000;GRISOSCURO;LACADO;333,96
7990;600;2500;GRISOSCURO;LACADO;392,76
7990;400;500;GRISOSCURO;ANODIZADO;155,33
7990;400;1000;GRISOSCURO;ANODIZADO;204,54
7990;400;2000;GRISOSCURO;ANODIZADO;277,16
7990;400;2500;GRISOSCURO;ANODIZADO;322,61
7990;500;500;GRISOSCURO;ANODIZADO;166,23
7990;500;1000;GRISOSCURO;ANODIZADO;223,59
7990;500;2000;GRISOSCURO;ANODIZADO;309,45
7990;500;2500;GRISOSCURO;ANODIZADO;362,33
7990;600;500;GRISOSCURO;ANODIZADO;177,14
7990;600;1000;GRISOSCURO;ANODIZADO;242,64
7990;600;2000;GRISOSCURO;ANODIZADO;341,75
7990;600;2500;GRISOSCURO;ANODIZADO;402,06
7990;400;500;MATE;LACADO;145,55
7990;400;1000;MATE;LACADO;186,18
7990;400;2000;MATE;LACADO;221,52
7990;400;2500;MATE;LACADO;253,37
7990;500;500;MATE;LACADO;154,38
7990;500;1000;MATE;LACADO;201,39
7990;500;2000;MATE;LACADO;241,41
7990;500;2500;MATE;LACADO;277,65
7990;600;500;MATE;LACADO;163,22
7990;600;1000;MATE;LACADO;216,60
7990;600;2000;MATE;LACADO;261,30
7990;600;2500;MATE;LACADO;301,94
7990;400;500;MATE;ANODIZADO;148,24
7990;400;1000;MATE;ANODIZADO;190,37
7990;400;2000;MATE;ANODIZADO;228,72
7990;400;2500;MATE;ANODIZADO;262,06
7990;500;500;MATE;ANODIZADO;157,38
7990;500;1000;MATE;ANODIZADO;205,89
7990;500;2000;MATE;ANODIZADO;248,91
7990;500;2500;MATE;ANODIZADO;286,65
7990;600;500;MATE;ANODIZADO;166,51
7990;600;1000;MATE;ANODIZADO;221,40
7990;600;2000;MATE;ANODIZADO;269,09
7990;600;2500;MATE;ANODIZADO;311,23
7991;400;500;SINVIDRIO;LACADO;44,32
7991;400;1000;SINVIDRIO;LACADO;55,70
7991;400;2000;SINVIDRIO;LACADO;75,63
7991;400;2500;SINVIDRIO;LACADO;87,01
7991;500;500;SINVIDRIO;LACADO;46,02
7991;500;1000;SINVIDRIO;LACADO;57,41
7991;500;2000;SINVIDRIO;LACADO;77,34
7991;500;2500;SINVIDRIO;LACADO;88,72
